distanciaNumero,distanciaDescripcion,banderaId,lat,lng,sucursalNombre,id,sucursalTipo,provincia,direccion,banderaDescripcion,localidad,comercioRazonSocial,comercioId,sucursalId
522.2598,522.26 kilómetros,1,-30.58027,-59.931099,SAFE-SAN JAVIER-GRAL LOPEZ-MU,2011-1-203,Autoservicio,AR-S,Gral Lopez 1051,Musimundo,SAN JAVIER,Electronica Megatone S.A,2011,203
522.2857,522.29 kilómetros,2,-27.45395,-58.98606,CHAResistencia [Jose Maria Paz 151],24-2-104,Autoservicio,AR-H,Jose Maria Paz 151,FARMACITY,Resistencia,Farmacity S.A.,24,104
522.3153,522.32 kilómetros,1,-27.438800,-58.987383,Resistencia II,10-1-44,Hipermercado,AR-H,Av. Ávalos None,Hipermercado Carrefour,Resistencia,INC S.A.,10,44
522.4077,522.41 kilómetros,2,-27.45969,-58.984222,CHAPeron 2 [Peron 100],24-2-126,Supermercado,AR-H,Peron 100,FARMACITY,Resistencia,Farmacity S.A.,24,126
522.4099,522.41 kilómetros,2,-32.423605,-63.243978,Villa Nueva,11-2-1056,Hipermercado,AR-X,Av Carranza E/ Lima Y Costanera 980,Changomas,VILLA NUEVA,Wal Mart Argentina S.R.L.,11,1056
522.488,522.49 kilómetros,2,-27.45081,-58.98434,CHAIRIGOYEN [Guemes 101],24-2-155,Supermercado,AR-H,Guemes 101,FARMACITY,Resistencia,Farmacity S.A.,24,155
522.4984,522.50 kilómetros,1,-27.453600,-58.983940,CHA - Resistencia - Av 9 de julio ,2009-1-5,Supermercado,AR-H,Av. 9 De Julio 302,CETROGAR,Resistencia,CETROGAR  S.A,2009,5
522.674,522.67 kilómetros,1,-27.45464,-58.98205,ACA RESISTENCIA,19-1-01335,Autoservicio,AR-B,9 De Julio 499 0,FULL,RESISTENCIA,Operadora de Estaciones de Servicios S.A.,19,01335
522.6852,522.69 kilómetros,1,-28.986113,-59.10309,582 - CRUCECITAS SANTA LUCIA,15-1-582,Autoservicio,AR-W,Av San Martin 690 None,Supermercados DIA,CORRIENTES,DIA Argentina S.A,15,582
522.9545,522.95 kilómetros,2,-27.445180,-58.980210,CHASarmiento [Av. Sarmiento 744],24-2-174,Supermercado,AR-H,Av. Sarmiento 744,FARMACITY,Resistencia,Farmacity S.A.,24,174
523.0553,523.06 kilómetros,1,-30.013737,-59.529291,Esquina 1,2000-1-667,Tienda Fisica,AR-W,Belgrano 720,MUSIMUNDO,ESQUINA,CARSA SA,2000,667
523.074,523.07 kilómetros,2,-27.45917,-58.97752,CHA9DEJULIO [Av. 9 de Julio 1050],24-2-148,Autoservicio,AR-H,Av. 9 De Julio 1050,FARMACITY,Resistencia,Farmacity S.A.,24,148
523.1862,523.19 kilómetros,1,-27.407530,-58.982070,Local M.com,2000-1-494,Tienda Virtual,AR-H,"Ruta Nicolas Avellaneda Km.15,5 0",MUSIMUNDO,RESISTENCIA,CARSA SA,2000,494
523.2471,523.25 kilómetros,2,-27.450556,-58.976669,CHAGuemes [Guemes 475],24-2-125,Supermercado,AR-H,Guemes 475,FARMACITY,Resistencia,Farmacity S.A.,24,125
523.9308,523.93 kilómetros,1,-32.437869,-63.245734,CDB - Villa Maria - San Martin ,2009-1-82,Supermercado,AR-X,San Martin 99,CETROGAR,Villa Maria,CETROGAR  S.A,2009,82
